Agency Name,State Name [District] Latest available year,County Name [District] 2014-15,Total Number Operational Schools [Public School] 2014-15,Total Number Operational Charter Schools [Public School] 2014-15,Total Number of Public Schools [Public School] 2014-15,Agency Type [District] 2014-15,Urban-centric Locale [District] 2014-15,Agency Charter Status [District] 2014-15,Lowest Grade Offered [District] 2014-15,Highest Grade Offered [District] 2014-15,"Total Students, All Grades (Excludes AE) [District] 2014-15",Full-Time Equivalent (FTE) Teachers [District] 2014-15,Pupil/Teacher Ratio [District] 2014-15
EXCELSIOR SPRINGS 40,Missouri,CLAY COUNTY,7,0,7,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,2872,224.19,12.81
EXCELSIOR TOWNSHIP S/D #1,Michigan,KALKASKA COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,8th Grade,43,3.27,13.15
EXECUTIVE EDUCATION ACADEMY CHARTER SCHOOL,PENNSYLVANIA,LEHIGH COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,Kindergarten,9th Grade,465,27.75,16.76
EXETER R-VI,Missouri,BARRY COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,336,27.1,12.4
EXETER REGION COOP SCHOOL DISTRICT,New Hampshire,ROCKINGHAM COUNTY,2,0,2,2-Local school district that is a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,6th Grade,12th Grade,3160,221.3,14.28
EXETER SAU OFFICE,New Hampshire,ROCKINGHAM COUNTY,0,0,†,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),23-Suburb: Small,†,Prekindergarten,12th Grade,–,0,–
EXETER SCHOOL DISTRICT,New Hampshire,ROCKINGHAM COUNTY,2,0,2,2-Local school district that is a component of a supervisory union,23-Suburb: Small,3-All associated schools are noncharter,Prekindergarten,5th Grade,1038,81.1,12.8
EXETER TOWNSHIP SD,Pennsylvania,BERKS COUNTY,6,0,6,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,4061,267,15.21
EXETER UNIFIED,California,TULARE COUNTY,8,0,8,1-Regular local school district that is NOT a component of a supervisory union,22-Suburb: Mid-size,3-All associated schools are noncharter,Kindergarten,12th Grade,2979,121.55,24.51
EXETER-MILLIGAN PUBLIC SCHOOLS,Nebraska,FILLMORE COUNTY,3,†,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,189,–,–
EXETER-WEST GREENWICH,Rhode Island,KENT COUNTY,5,0,5,4-Regional Education Service Agency (RESA),41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1645,126.38,13.02
EXIRA-ELK HORN- KIMBALLTON COMM SCH DIST,Iowa,SHELBY COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,442,38.76,11.4
EXPERIENCIA PREPARATORY ACADEMY,Michigan,WAYNE COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,338,20,16.9
EXPLORATIONS DISTRICT,Connecticut,LITCHFIELD COUNTY,1,1,1,7-Independent Charter District,31-Town: Fringe,1-All associated schools are charter schools,9th Grade,12th Grade,88,9.8,8.98
EXPLORE ACADEMY,NEW MEXICO,SANDOVAL COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,10th Grade,149,12.34,12.07
EXPLORE CHARTER SCHOOL,New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,521,48.5,10.74
EXPLORE EMPOWER CHARTER SCHOOL,New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,7th Grade,466,40,11.65
EXPLORE EXCEED CHARTER SCHOOL,New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,5th Grade,367,31,11.84
EXPLORE EXCEL CHARTER SCHOOL,New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,6th Grade,415,36.01,11.52
EXPLORIS MIDDLE SCHOOL,North Carolina,WAKE COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,413,30.6,13.5
EZZELL ISD,Texas,LAVACA COUNTY,1,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,8th Grade,81,–,–
FABENS ISD,Texas,EL PASO COUNTY,4,0,5,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,2333,176.8,13.2
FABIUS-POMPEY CENTRAL SCHOOL DISTRICT,New York,ONONDAGA COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,695,70.46,9.86
FACE TO FACE ACADEMY,Minnesota,RAMSEY COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,76,5.87,12.95
FAHARI ACADEMY CHARTER SCHOOL,New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,5th Grade,8th Grade,385,26.03,14.79
FAIR GROVE R-X,Missouri,GREENE COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1120,78.98,14.18
FAIR HAVEN SCHOOL DISTRICT,Vermont,RUTLAND COUNTY,1,†,1,2-Local school district that is a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,8th Grade,314,33.7,9.32
FAIR HAVEN SCHOOL DISTRICT,New Jersey,MONMOUTH COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,8th Grade,1002,78.69,12.73
FAIR HAVEN UHSD #16,Vermont,RUTLAND COUNTY,1,†,1,2-Local school district that is a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,9th Grade,12th Grade,423,44,9.61
FAIR LAWN PUBLIC SCHOOL DISTRICT,New Jersey,BERGEN COUNTY,9,0,9,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,4828,384.3,12.56
FAIR PLAY R-II,Missouri,POLK COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,362,43.88,8.25
FAIR-MONT-EGAN ELEM,Montana,FLATHEAD COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,8th Grade,180,–,–
FAIRBANKS LOCAL,Ohio,UNION COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1003,–,–
FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,Alaska,FAIRBANKS NORTH STAR BOROUGH,35,4,35,1-Regular local school district that is NOT a component of a supervisory union,23-Suburb: Small,2-All associated schools are charter and noncharter,Prekindergarten,12th Grade,13863,797.34,17.39
FAIRBORN CITY,Ohio,GREENE COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,4257,–,–
FAIRBORN DIGITAL ACADEMY,Ohio,GREENE COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,12th Grade,163,–,–
FAIRBURY PUBLIC SCHOOLS,Nebraska,JEFFERSON COUNTY,3,†,3,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,945,–,–
FAIRFAX CO PBLC SCHS,Virginia,FAIRFAX COUNTY,222,0,222,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,13th Grade,185541,14282.53,12.99
FAIRFAX ELEMENTARY,California,KERN COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,8th Grade,2412,105.01,22.97
FAIRFAX R-III,Missouri,ATCHISON COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,126,20.25,6.22
FAIRFAX SCHOOL DISTRICT,Vermont,FRANKLIN COUNTY,2,†,2,2-Local school district that is a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,790,68.3,11.57
FAIRFAX-FALLS CHURCH COMM SVCS BD,Virginia,FAIRFAX COUNTY,0,0,†,5-State agency providing elementary and/or secondary level instruction,21-Suburb: Large,†,†,†,–,–,–
FAIRFIELD,Kansas,RENO COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,315,35.6,8.85
FAIRFIELD 01,South Carolina,FAIRFIELD COUNTY,8,0,8,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,2932,250,11.73
FAIRFIELD AREA SD,Pennsylvania,ADAMS COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,1053,74.6,14.12
FAIRFIELD CITY,Ohio,BUTLER COUNTY,9,0,9,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,9875,–,–
FAIRFIELD CITY,Alabama,JEFFERSON COUNTY,6,†,7,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,1876,99,18.95
FAIRFIELD COMM H S DIST 225,Illinois,WAYNE COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,9th Grade,12th Grade,452,24,18.83
FAIRFIELD COMM SCHOOL DISTRICT,Iowa,JEFFERSON COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1689,121.15,13.94
FAIRFIELD COMMUNITY SCHOOLS,Indiana,ELKHART COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,2025,117.11,17.29
FAIRFIELD COUNTY ESC,Ohio,FAIRFIELD COUNTY,0,0,†,4-Regional Education Service Agency (RESA),32-Town: Distant,†,Prekindergarten,Prekindergarten,0,–,–
FAIRFIELD ELEM,Montana,TETON COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,8th Grade,178,–,–
FAIRFIELD H S,Montana,TETON COUNTY,1,†,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,9th Grade,12th Grade,108,–,–
FAIRFIELD ISD,Texas,FREESTONE COUNTY,4,0,5,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1764,140.85,12.52
FAIRFIELD LOCAL,Ohio,HIGHLAND COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,940,–,–
FAIRFIELD PSD 112,Illinois,WAYNE COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,8th Grade,743,42.4,17.52
FAIRFIELD PUBLIC SCHOOLS,New Jersey,ESSEX COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,1240,57.6,21.53
FAIRFIELD SCHOOL DISTRICT,Vermont,FRANKLIN COUNTY,1,†,1,2-Local school district that is a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,342,20.7,16.52
FAIRFIELD SCHOOL DISTRICT,Connecticut,FAIRFIELD COUNTY,17,0,17,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,10176,789.9,12.88
FAIRFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,CUMBERLAND COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,909,53,17.15
FAIRFIELD UNION LOCAL,Ohio,FAIRFIELD COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,1935,–,–
FAIRFIELD-SUISUN UNIFIED,California,SOLANO COUNTY,29,0,29,1-Regular local school district that is NOT a component of a supervisory union,12-City: Mid-size,3-All associated schools are noncharter,Kindergarten,12th Grade,21366,866.27,24.66
FAIRHAVEN,Massachusetts,BRISTOL COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,22-Suburb: Mid-size,3-All associated schools are noncharter,Prekindergarten,12th Grade,1999,144.31,13.85
FAIRLAND,Oklahoma,OTTAWA COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,595,39.75,14.97
FAIRLAND LOCAL,Ohio,LAWRENCE COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,22-Suburb: Mid-size,3-All associated schools are noncharter,Prekindergarten,12th Grade,1675,–,–
FAIRLAWN LOCAL,Ohio,SHELBY COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,666,–,–
FAIRLESS LOCAL,Ohio,STARK COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,1530,–,–
FAIRMONT AREA SCHOOL DISTRICT,Minnesota,MARTIN COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1759,102.69,17.13
FAIRMONT SD 89,Illinois,WILL COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,8th Grade,335,23.5,14.26
FAIRMOUNT 18,North Dakota,RICHLAND COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,108,13.75,7.85
FAIRPORT CENTRAL SCHOOL DISTRICT,New York,MONROE COUNTY,8,0,8,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,6170,508.58,12.13
FAIRPORT HARBOR EXEMPTED VILLAGE,Ohio,LAKE COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,628,–,–
FAIRVIEW,Oklahoma,MAJOR COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,759,48.1,15.78
FAIRVIEW AREA SCHOOL DISTRICT,Michigan,OSCODA COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,298,17.5,17.03
FAIRVIEW ELEM,Montana,RICHLAND COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,8th Grade,206,–,–
FAIRVIEW H S,Montana,RICHLAND COUNTY,1,†,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,9th Grade,12th Grade,101,–,–
FAIRVIEW INDEPENDENT,Kentucky,BOYD COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,22-Suburb: Mid-size,3-All associated schools are noncharter,Prekindergarten,12th Grade,847,57.14,14.82
